Agents: 1, Dirt: 5, Obstacles: 1, Steps: 109, Total Movements: 109
Agents: 1, Dirt: 5, Obstacles: 2, Steps: 119, Total Movements: 119
Agents: 1, Dirt: 5, Obstacles: 3, Steps: 134, Total Movements: 134
Agents: 1, Dirt: 5, Obstacles: 4, Steps: 250, Total Movements: 250
Agents: 1, Dirt: 5, Obstacles: 5, Steps: 102, Total Movements: 102
Agents: 1, Dirt: 5, Obstacles: 6, Steps: 110, Total Movements: 110
Agents: 1, Dirt: 5, Obstacles: 7, Steps: 68, Total Movements: 68
Agents: 1, Dirt: 5, Obstacles: 8, Steps: 60, Total Movements: 60
Agents: 1, Dirt: 5, Obstacles: 9, Steps: 66, Total Movements: 66
Agents: 1, Dirt: 5, Obstacles: 10, Steps: 63, Total Movements: 63
Agents: 1, Dirt: 5, Obstacles: 11, Steps: 75, Total Movements: 75
Agents: 1, Dirt: 5, Obstacles: 12, Steps: 71, Total Movements: 71
Agents: 1, Dirt: 5, Obstacles: 13, Steps: 71, Total Movements: 71
Agents: 1, Dirt: 5, Obstacles: 14, Steps: 151, Total Movements: 151
Agents: 1, Dirt: 5, Obstacles: 15, Steps: 83, Total Movements: 83
Agents: 1, Dirt: 5, Obstacles: 16, Steps: 140, Total Movements: 140
Agents: 1, Dirt: 5, Obstacles: 17, Steps: 90, Total Movements: 90
Agents: 1, Dirt: 5, Obstacles: 18, Steps: 250, Total Movements: 250
Agents: 1, Dirt: 5, Obstacles: 19, Steps: 45, Total Movements: 45
Agents: 1, Dirt: 5, Obstacles: 20, Steps: 109, Total Movements: 109
Agents: 1, Dirt: 6, Obstacles: 1, Steps: 174, Total Movements: 174
Agents: 1, Dirt: 6, Obstacles: 2, Steps: 95, Total Movements: 95
Agents: 1, Dirt: 6, Obstacles: 3, Steps: 89, Total Movements: 89
Agents: 1, Dirt: 6, Obstacles: 4, Steps: 108, Total Movements: 108
Agents: 1, Dirt: 6, Obstacles: 5, Steps: 99, Total Movements: 99
Agents: 1, Dirt: 6, Obstacles: 6, Steps: 84, Total Movements: 84
Agents: 1, Dirt: 6, Obstacles: 7, Steps: 74, Total Movements: 74
Agents: 1, Dirt: 6, Obstacles: 8, Steps: 83, Total Movements: 83
Agents: 1, Dirt: 6, Obstacles: 9, Steps: 81, Total Movements: 81
Agents: 1, Dirt: 6, Obstacles: 10, Steps: 85, Total Movements: 85
Agents: 1, Dirt: 6, Obstacles: 11, Steps: 93, Total Movements: 93
Agents: 1, Dirt: 6, Obstacles: 12, Steps: 131, Total Movements: 131
Agents: 1, Dirt: 6, Obstacles: 13, Steps: 84, Total Movements: 84
Agents: 1, Dirt: 6, Obstacles: 14, Steps: 122, Total Movements: 122
Agents: 1, Dirt: 6, Obstacles: 15, Steps: 189, Total Movements: 189
Agents: 1, Dirt: 6, Obstacles: 16, Steps: 101, Total Movements: 101
Agents: 1, Dirt: 6, Obstacles: 17, Steps: 58, Total Movements: 58
Agents: 1, Dirt: 6, Obstacles: 18, Steps: 171, Total Movements: 171
Agents: 1, Dirt: 6, Obstacles: 19, Steps: 91, Total Movements: 91
Agents: 1, Dirt: 6, Obstacles: 20, Steps: 80, Total Movements: 80
Agents: 1, Dirt: 7, Obstacles: 1, Steps: 75, Total Movements: 75
Agents: 1, Dirt: 7, Obstacles: 2, Steps: 112, Total Movements: 112
Agents: 1, Dirt: 7, Obstacles: 3, Steps: 83, Total Movements: 83
Agents: 1, Dirt: 7, Obstacles: 4, Steps: 100, Total Movements: 100
Agents: 1, Dirt: 7, Obstacles: 5, Steps: 99, Total Movements: 99
Agents: 1, Dirt: 7, Obstacles: 6, Steps: 95, Total Movements: 95
Agents: 1, Dirt: 7, Obstacles: 7, Steps: 109, Total Movements: 109
Agents: 1, Dirt: 7, Obstacles: 8, Steps: 58, Total Movements: 58
Agents: 1, Dirt: 7, Obstacles: 9, Steps: 86, Total Movements: 86
Agents: 1, Dirt: 7, Obstacles: 10, Steps: 56, Total Movements: 56
Agents: 1, Dirt: 7, Obstacles: 11, Steps: 88, Total Movements: 88
Agents: 1, Dirt: 7, Obstacles: 12, Steps: 86, Total Movements: 86
Agents: 1, Dirt: 7, Obstacles: 13, Steps: 85, Total Movements: 85
Agents: 1, Dirt: 7, Obstacles: 14, Steps: 75, Total Movements: 75
Agents: 1, Dirt: 7, Obstacles: 15, Steps: 78, Total Movements: 78
Agents: 1, Dirt: 7, Obstacles: 16, Steps: 131, Total Movements: 131
Agents: 1, Dirt: 7, Obstacles: 17, Steps: 88, Total Movements: 88
Agents: 1, Dirt: 7, Obstacles: 18, Steps: 76, Total Movements: 76
Agents: 1, Dirt: 7, Obstacles: 19, Steps: 116, Total Movements: 116
Agents: 1, Dirt: 7, Obstacles: 20, Steps: 65, Total Movements: 65
Agents: 1, Dirt: 8, Obstacles: 1, Steps: 83, Total Movements: 83
Agents: 1, Dirt: 8, Obstacles: 2, Steps: 85, Total Movements: 85
Agents: 1, Dirt: 8, Obstacles: 3, Steps: 132, Total Movements: 132
Agents: 1, Dirt: 8, Obstacles: 4, Steps: 250, Total Movements: 250
Agents: 1, Dirt: 8, Obstacles: 5, Steps: 80, Total Movements: 80
Agents: 1, Dirt: 8, Obstacles: 6, Steps: 82, Total Movements: 82
Agents: 1, Dirt: 8, Obstacles: 7, Steps: 247, Total Movements: 247
Agents: 1, Dirt: 8, Obstacles: 8, Steps: 69, Total Movements: 69
Agents: 1, Dirt: 8, Obstacles: 9, Steps: 85, Total Movements: 85
Agents: 1, Dirt: 8, Obstacles: 10, Steps: 155, Total Movements: 155
Agents: 1, Dirt: 8, Obstacles: 11, Steps: 80, Total Movements: 80
Agents: 1, Dirt: 8, Obstacles: 12, Steps: 87, Total Movements: 87
Agents: 1, Dirt: 8, Obstacles: 13, Steps: 59, Total Movements: 59
Agents: 1, Dirt: 8, Obstacles: 14, Steps: 162, Total Movements: 162
Agents: 1, Dirt: 8, Obstacles: 15, Steps: 90, Total Movements: 90
Agents: 1, Dirt: 8, Obstacles: 16, Steps: 53, Total Movements: 53
Agents: 1, Dirt: 8, Obstacles: 17, Steps: 71, Total Movements: 71
Agents: 1, Dirt: 8, Obstacles: 18, Steps: 103, Total Movements: 103
Agents: 1, Dirt: 8, Obstacles: 19, Steps: 90, Total Movements: 90
Agents: 1, Dirt: 8, Obstacles: 20, Steps: 71, Total Movements: 71
Agents: 1, Dirt: 9, Obstacles: 1, Steps: 91, Total Movements: 91
Agents: 1, Dirt: 9, Obstacles: 2, Steps: 97, Total Movements: 97
Agents: 1, Dirt: 9, Obstacles: 3, Steps: 90, Total Movements: 90
Agents: 1, Dirt: 9, Obstacles: 4, Steps: 83, Total Movements: 83
Agents: 1, Dirt: 9, Obstacles: 5, Steps: 94, Total Movements: 94
Agents: 1, Dirt: 9, Obstacles: 6, Steps: 104, Total Movements: 104
Agents: 1, Dirt: 9, Obstacles: 7, Steps: 82, Total Movements: 82
Agents: 1, Dirt: 9, Obstacles: 8, Steps: 241, Total Movements: 241
Agents: 1, Dirt: 9, Obstacles: 9, Steps: 150, Total Movements: 150
Agents: 1, Dirt: 9, Obstacles: 10, Steps: 184, Total Movements: 184
Agents: 1, Dirt: 9, Obstacles: 11, Steps: 88, Total Movements: 88
Agents: 1, Dirt: 9, Obstacles: 12, Steps: 82, Total Movements: 82
Agents: 1, Dirt: 9, Obstacles: 13, Steps: 143, Total Movements: 143
Agents: 1, Dirt: 9, Obstacles: 14, Steps: 89, Total Movements: 89
Agents: 1, Dirt: 9, Obstacles: 15, Steps: 101, Total Movements: 101
Agents: 1, Dirt: 9, Obstacles: 16, Steps: 66, Total Movements: 66
Agents: 1, Dirt: 9, Obstacles: 17, Steps: 92, Total Movements: 92
